subject,difficulty,topic,question,option1,option2,option3,option4,answer,hint
Математика,easy,Арифметика,Сколько будет 18 + 25?,43,42,45,40,43,Сложите 20 + 25 и вычтите 2
Математика,easy,Арифметика,Найдите произведение: 9 × 6,54,56,48,45,54,"Это на 6 больше, чем 9 × 5 = 45"
Математика,easy,Арифметика,Вычислите: 72 ÷ 8,8,9,10,7,9,Вспомните таблицу умножения на 8
Математика,easy,Арифметика,Сколько будет 15 × 4?,50,55,60,65,60,"15 × 2 = 30, затем умножьте на 2"
Математика,easy,Арифметика,Найдите сумму: 37 + 48,85,75,95,80,85,"Сложите сначала десятки, затем единицы"
Математика,medium,Уравнения,Решите уравнение: 3x - 7 = 14,x = 7,x = 9,x = 5,x = 8,x = 7,Сначала перенесите -7 в правую часть с противоположным знаком
Математика,medium,Геометрия,Периметр квадрата равен 20 см. Найдите его площадь.,25 см²,16 см²,20 см²,100 см²,25 см²,"Сначала найдите сторону квадрата, разделив периметр на 4"
Математика,medium,Дроби,Вычислите: 3/4 + 1/2,1,1¼,1½,1¾,1¼,Приведите дроби к общему знаменателю 4
Математика,medium,Проценты,Найдите 20% от числа 150,20,25,30,35,30,"20% = 0.2, умножьте 150 на 0.2"
Математика,medium,Алгебра,Упростите выражение: 2a + 3b - a + 2b,a + 5b,3a + 5b,a + b,3a + b,a + 5b,Сгруппируйте подобные слагаемые
Математика,hard,Алгебра,Упростите выражение: (a² - 9) / (a - 3),a + 3,a - 3,a² - 3,3a,a + 3,Числитель представляет собой разность квадратов: a² - 3²
Математика,hard,Тригонометрия,Чему равен sin(90°)?,0,0.5,1,√2/2,1,Рассмотрите прямоугольный треугольник с прямым углом
Математика,hard,Алгебра,Решите квадратное уравнение: x² - 5x + 6 = 0,"x = 2, x = 3","x = 1, x = 6","x = -2, x = -3","x = 2, x = -3","x = 2, x = 3",Используйте теорему Виета или формулу дискриминанта
Математика,hard,Логарифмы,Чему равен логарифм: log₂(8)?,2,3,4,1,3,2 в какой степени равно 8?
Математика,hard,Геометрия,В прямоугольном треугольнике катеты равны 3 см и 4 см. Найдите гипотенузу.,5 см,6 см,7 см,8 см,5 см,Используйте теорему Пифагора: a² + b² = c²
Физика,easy,Механика,Какая единица измерения используется для измерения времени?,Секунда,Метр,Килограмм,Ампер,Секунда,Основная единица времени в системе СИ
