subject,difficulty,topic,question,options,answer,hint
russian,easy,Орфография. Безударные гласные,В каком слове пропущена буква «о»?,"[""в_да"", ""тр_ва"", ""з_мля"", ""л_сток""]",в_да,Подберите проверочное слово с ударением на пропущенную гласную
russian,easy,Орфография. Безударные гласные,В каком слове пропущена буква «е»?,"[""в_сна"", ""м_ровой"", ""п_сатель"", ""кр_сивый""]",в_сна,Проверочное слово должно иметь ударение на эту гласную
russian,easy,Части речи,Какое слово является глаголом?,"[""бежать"", ""красный"", ""быстро"", ""дерево""]",бежать,Глагол отвечает на вопросы «что делать?» или «что сделать?»
russian,easy,Части речи,Какое слово является прилагательным?,"[""солнечный"", ""бегать"", ""дом"", ""весело""]",солнечный,Прилагательное отвечает на вопрос «какой?»
russian,easy,Антонимы,Какое слово является антонимом к слову «горячий»?,"[""холодный"", ""тёплый"", ""жаркий"", ""знойный""]",холодный,Антонимы — слова с противоположным значением
russian,easy,Синонимы,Какое слово является синонимом к слову «большой»?,"[""огромный"", ""маленький"", ""узкий"", ""низкий""]",огромный,"Синонимы — слова, близкие по значению"
russian,easy,Орфография. ЖИ-ШИ,В каком слове допущена ошибка?,"[""жыраф"", ""машина"", ""шило"", ""живот""]",жыраф,Вспомните правило написания ЖИ-ШИ
russian,easy,Орфография. ЧА-ЩА,Какое слово написано правильно?,"[""чаща"", ""чящя"", ""щявель"", ""чяйник""]",чаща,ЧА-ЩА пишется с определённой гласной
russian,easy,Члены предложения,Чем является слово «кошка» в предложении «Кошка спит на диване»?,"[""подлежащим"", ""сказуемым"", ""дополнением"", ""определением""]",подлежащим,Подлежащее отвечает на вопрос «к��о?» или «что?»
russian,easy,Члены предложения,Чем является слово «читает» в предложении «Мальчик читает книгу»?,"[""сказуемым"", ""подлежащим"", ""дополнением"", ""обстоятельством""]",сказуемым,Сказуемое обозначает действие подлежащего
russian,easy,Род имён существительных,Какого рода слово «окно»?,"[""среднего"", ""мужского"", ""женского"", ""общего""]",среднего,"Подставьте местоимение «оно», «он» или «она»"
russian,easy,Род имён существительных,Какого рода слово «книга»?,"[""женского"", ""мужского"", ""среднего"", ""общего""]",женского,"Подставьте местоимение «она», «он» или «оно»"
russian,easy,Множественное число,Какова форма множественного числа слова «стул»?,"[""стулья"", ""стулы"", ""стулы"", ""стулия""]",стулья,Некоторые существительные образуют множественное число нестандартно
russian,easy,Ударение,В каком слове ударение падает на второй слог?,"[""звонИт"", ""тОрты"", ""бАнты"", ""шАрфы""]",звонИт,Произнесите каждое слово вслух
russian,easy,Орфография. Непроизносимые согласные,В каком слове есть непроизносимая согласная?,"[""солнце"", ""красный"", ""весна"", ""лесной""]",солнце,"Найдите слово, где буква пишется, но не произносится"
russian,easy,Орфография. Парные согласные,Какую букву нужно написать в слове «хле_»?,"[""б"", ""п"", ""в"", ""ф""]",б,"Подберите проверочное слово, где согласная слышится чётко"
russian,easy,Типы предложений,Какое предложение является вопросительным?,"[""Ты идёшь домой?"", ""Какой прекрасный день!"", ""Солнце светит ярко."", ""Иди сюда.""]",Ты идёшь домой?,Вопросительные предложения содержат вопрос
russian,easy,Типы предложений,Какое предложение является побудительным?,"[""Закрой дверь."", ""На улице идёт дождь."", ""Какая красивая птица!"", ""Ты любишь читать?""]",Закрой дверь.,Побудительные предложения выражают просьбу или приказ
russian,easy,Алфавит,Какая буква идёт после «М» в русском алфавите?,"[""Н"", ""О"", ""Л"", ""П""]",Н,Вспомните порядок букв в алфавите
russian,easy,Слоги,Сколько слогов в слове «молоко»?,"[""3"", ""2"", ""4"", ""1""]",3,Сколько гласных — столько и слогов
russian,medium,Пунктуация. Запятые,В каком предложении запятая поставлена правильно?,"[""Мама, я пришёл домой."", ""Мама я, пришёл домой."", ""Мама я пришёл, домой."", ""Мама я пришёл домой.""]","Мама, я пришёл домой.",Обращение выделяется запятыми
